Image TSC_3_07; scale=1.5947265625e-07; signal=inlens
n°cupule; surface(m**2); fermeture_cupule(boolean); diametre_equivalent(m); grand_axe(m); petit_axe(m)
143; 1.0625292436599734e-10; True; 1.7486507793210507e-05; 1.3486012400686742e-05; 1.0317807371914387e-05
144; 2.393106793403626e-11; True; 6.363625725703319e-06; 9.821418434008957e-06; 3.27145369425416e-06
145; 6.721552874565125e-11; True; 1.3551047791928634e-05; 1.4459143330901862e-05; 7.169231646880508e-06
146; 5.4296312475204476e-11; True; 1.2637229029968249e-05; 1.1382123587280513e-05; 6.247083250805736e-06
147; 2.3346142787933353e-11; True; 5.846703707582682e-06; 7.06328073553741e-06; 4.485513689927757e-06
148; 4.55224352836609e-11; True; 1.173177341610947e-05; 9.580110068619253e-06; 6.152131733298302e-06
149; 6.863969431877137e-11; True; 1.247793400314866e-05; 1.5183937744796277e-05; 1.0079531580954791e-05
150; 2.215086096763611e-11; True; 9.586301574798465e-06; 1.0426402128487827e-05; 2.9869258202612404e-06
151; 3.562957085609436e-11; True; 9.710959827664856e-06; 1.0966160226613285e-05; 5.423957382887602e-06
152; 4.651426487922669e-11; True; 9.935830583117313e-06; 1.2151179596036674e-05; 8.2384206648916e-06
153; 4.4123701238632206e-11; True; 8.080451366361403e-06; 6.921460765004159e-05; 2.725743841826916e-05
154; 4.297928247451783e-11; True; 4.269442963814296e-06; 1.2794953172095122e-06; 9.396605248562992e-07
155; 3.4001953058242803e-11; True; 8.629165982919563e-06; 1.030924681276083e-05; 6.869791536778212e-06
